Spell Name,,Discription,Ritual ,Option_A,Casting Time,Cast condition,Components,Material,Duration,Page No.,Use,Save/ Attack Roll,Utility Effect,Damage Type ,Letter,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock ,Wizard
Summon Fiend,necromancy,"You call forth a endish spirit. It manifests in an unoccupied space that you can see within range and uses the Fiendish Spirit statblock. When you cast the spell, choose Demon, Devil, or Yugoloth. The creature resembles a Fiend of the chosen type, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.

The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its movement to avoid danger.

Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block.

See page.327 in the Players Handbook 2024 for the stat block.",No,Level 6,Action,,"V, S, M*",(a bloody vial worth 600+ GP),"Concentration, up to 1 Hour",326,Minion/Summon,_,_,_,S,No,No,No,No,No,No,Yes,Yes
Summon Undead,divination,"You call forth an Undead spirit. It manifests in an unoccupied
space that you can see within range and uses the Undead Spirit
stat block. When you cast the spell, choose the creature’s form:
Ghostly, Putrid, or Skeletal. The spirit resembles an Undead
creature with the chosen form, which determines certain
details in its stat block. The creature disappears when it drops
to 0 Hit Points or when the spell ends.

The creature is an ally to you and your allies. In combat, the
creature shares your Initiative count, but it takes its turn
immediately after yours. It obeys your verbal commands (no
action required by you). If you don’t issue any, it takes the
Dodge action and uses its movement to avoid danger.

Using a Higher-Level Spell Slot. Use the spell slot’s level for
the spell’s level in the stat block.

See page.328 in the Players Handbook 2024 for the stat block.

",No,Level 3,Action,,"V, S, M*",(a gilded skull worth 300+ GP),"Concentration, up to 1 Hour",328,Minion/Summon,_,_,_,S,No,No,No,No,No,No,Yes,Yes
Sunbeam,illusion,"You launch a sunbeam in a 5-foot-wide, 60-foot-long Line. Each creature in the Line makes a Constitution saving throw. On a failed save, a creature takes 6d8 Radiant damage and has the Blinded condition until the start of your next turn. On a successful save, it takes half as much damage only.

Until the spell ends, you can take a Magic action to create a new Line of radiance.
For the duration, a mote of brilliant radiance shines above you. It sheds Bright Light in a 30-foot radius and Dim Light for an
additional 30 feet. This light is sunlight.
",No,Level 6,Action,,"V, S, M",(a magnifying glass),"Concentration, up to 1 Minute",329,Damage,Constitution Save ,Blinded,Radiant,S,No,Yes,Yes,No,No,Yes,No,Yes
Sunburst,enchantment,"Brilliant sunlight ashes in a 60-foot-radius Sphere centered on a point you choose within range. Each creature in the Sphere
makes a Constitution saving throw. On a failed save, a creature takes 12d6 Radiant damage and has the Blinded condition for 1
minute. On a successful save, it takes half as much damage only.
A creature Blinded by this spell makes another Constitution saving throw at the end of each of its turns, ending the effect on itself
on a success.
This spell dispels Darkness in its area that was created by any spell.",No,Level 8,Action,,"V, S, M",(a piece of sunstone),Instantaneous,329,Damage,Constitution Save ,Blinded,Radiant,S,No,Yes,Yes,No,No,Yes,No,Yes
Swift Quiver,illusion,"When you cast the spell and as a Bonus Action until it ends, you can make two attacks with a weapon that fires Arrows or Bolts,
such as a Longbow or a Light Crossbow. The spell magically creates the ammunition needed for each attack. Each Arrow or Bolt created by the spell deals damage like a nonmagical piece of ammunition of its kind and disintegrates immediately after it hits or
misses.
",No,Level 5,Bonus Action,,"V, S, M",(a Quiver worth 1+ GP),"Concentration, up to 1 Minute",329,Utility ,_,Attacks,_,S,No,No,No,No,Yes,No,No,No
Symbol,illusion,"You inscribe a harmful glyph either on a surface (such as a section of oor or wall) or within an object that can be closed (such as a book or chest). The glyph can cover an area no larger than 10 feet in diameter. If you choose an object, it must remain in place; if it is moved more than 10 feet from where you cast this spell, the glyph is broken, and the spell ends without being triggered.
The glyph is nearly imperceptible and requires a successful Wisdom (Perception) check against your spell save DC to notice.
When you inscribe the glyph, you set its trigger and choose which effect the symbol bears: Death, Discord, Fear, Pain, Sleep, or Stunning. Each one is explained below.

Set the Trigger. You decide what triggers the glyph when you cast the spell. For glyphs inscribed on a surface, common triggers
include touching or stepping on the glyph, removing another object covering it, or approaching within a certain distance of it. For glyphs inscribed within an object, common triggers include opening that object or seeing the glyph.
You can rene the trigger so that only creatures of certain types activate it (for example, the glyph could be set to affect
Aberrations). You can also set conditions for creatures that don’t trigger the glyph, such as those who say a certain password.
Once triggered, the glyph glows, lling a 60-foot-radius Sphere with Dim Light for 10 minutes, after which time the spell ends. Each creature in the Sphere when the glyph activates is targeted by its effect, as is a creature that enters the Sphere for the rst time on a turn or ends its turn there. A creature is targeted only once per turn.
Death. Each target makes a Constitution saving throw, taking 10d10 Necrotic damage on a failed save or half as much damage on a successful save.
Discord. Each target makes a Wisdom saving throw. On a failed save, a target argues with other creatures for 1 minute. During this time, it is incapable of meaningful communication and has Disadvantage on attack rolls and ability checks.
Fear. Each target must succeed on a Wisdom saving throw or have the Frightened condition for 1 minute. While Frightened, the target must move at least 30 feet away from the glyph on each of its turns, if able.
Pain. Each target must succeed on a Constitution saving throw or have the Incapacitated condition for 1 minute.
Sleep. Each target must succeed on a Wisdom saving throw or have the Unconscious condition for 10 minutes. A creature
awakens if it takes damage or if someone takes an action to shake it awake.
Stunning. Each target must succeed on a Wisdom saving throw or have the Stunned condition for 1 minute.",No,Level 7,1 Minute,,"V, S, M**","(powdered diamond worth 1,000+ GP, which the spell consumes)",Until Dispelled or Triggered,329,Utility ,_,Trap,_,S,Yes,Yes,Yes,No,No,No,No,Yes
Synaptic Static,divination,"You cause psychic energy to erupt at a point within range. Each creature in a 20-foot-radius Sphere centered on that point makes an Intelligence saving throw, taking 8d6 Psychic damage on a failed save or half as much damage on a successful one.
On a failed save, a target also has muddled thoughts for 1 minute. During that time, it subtracts 1d6 from all its attack rolls and ability checks, as well as any Constitution saving throws to maintain Concentration. The target makes an Intelligence saving throw at the end of each of its turns, ending the effect on itself on a success.",No,Level 5,Action,,"V, S",,Instantaneous,330,Damage/Debuff,Intelligence Save ,_,Psychic,S,Yes,No,No,No,No,Yes,Yes,Yes
Tasha's Bubbling Cauldron,transmutation,"You conjure a claw-footed cauldron lled with bubbling liquid. The cauldron appears in an unoccupied space on the ground within
5 feet of you and lasts for the duration. The cauldron can’t be moved and disappears when the spell ends, along with the bubbling
liquid inside it.
The liquid in the cauldron duplicates the properties of a Common or an Uncommon potion of your choice (such as a Potion of
Healing). As a Bonus Action, you or an ally can reach into the cauldron and withdraw one potion of that kind. The potion is
contained in a vial that disappears when the potion is consumed. The cauldron can produce a number of these potions equal to
your spellcasting ability modier (minimum 1). When the last of these potions is withdrawn from the cauldron, the cauldron
disappears, and the spell ends.
Potions obtained from the cauldron that aren’t consumed disappear when you cast this spell again.",No,Level 6,Action,,"V, S, M*",(a gilded ladle worth 500+ GP,10 Minutes,330,Utility ,_,_,_,T,No,No,No,No,No,No,Yes,Yes
Tasha's Hideous Laughter,necromancy,"One creature of your choice that you can see within range makes a Wisdom saving throw. On a failed save, it has the Prone and
Incapacitated conditions for the duration. During that time, it laughs uncontrollably if it’s capable of laughter, and it can’t end the Prone condition on itself.
At the end of each of its turns and each time it takes damage, it makes another Wisdom saving throw. The target has Advantage
on the save if the save is triggered by damage. On a successful save, the spell ends.

Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level about 1.",No,Level 1,Action,,"V, S, M",(a tart and a feather),"Concentration, up to 1 Minute",331,Debuff,Wisdom Save,_,_,T,Yes,No,No,No,No,No,Yes,Yes
Telekinesis,conjuration,"You gain the ability to move or manipulate creatures or objects by thought. When you cast the spell and as a Magic action on your
later turns before the spell ends, you can exert your will on one creature or object that you can see within range, causing the
appropriate effect below. You can affect the same target round after round or choose a new one at any time. If you switch targets, the prior target is no longer affected by the spell.

Creature. You can try to move a Huge or smaller creature. The target must succeed on a Strength saving throw, or you move it up to 30 feet in any direction within the spell’s range. Until the end of your next turn, the creature has the Restrained condition, and if you lift it into the air, it is suspended there. It falls at the end of your next turn unless you use this option on it again and it fails the save.
Object. You can try to move a Huge or smaller object. If the object isn’t being worn or carried, you automatically move it up to 30 feet in any direction within the spell’s range.

If the object is worn or carried by a creature, that creature must succeed on a Strength saving throw, or you pull the object away
and move it up to 30 feet in any direction within the spell’s range.

You can exert fine control on objects with your telekinetic grip, such as manipulating a simple tool, opening a door or a container,
stowing or retrieving an item from an open container, or pouring the contents from a vial.",No,Level 5,Action,,"V, S",,"Concentration, up to 10 Minutes",331,Utility ,Strength Save,_,_,T,No,No,No,No,No,Yes,No,Yes
